GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ASSURANCE NATION,com.assurance.nation.mapper,PrescriptionMapper,68,3,6,0,16,1,4,1,1,1
ASSURANCE NATION,com.assurance.nation.mapper,ReimbursementMapper,18,61,2,2,3,16,2,2,0,2
ASSURANCE NATION,com.assurance.nation.mapper,ConsultationMapper,5,64,1,1,1,14,1,2,0,2
ASSURANCE NATION,com.assurance.nation.mapper,UserMapper,0,71,1,1,0,18,1,3,0,3
ASSURANCE NATION,com.assurance.nation.entity.enums,UserType,0,21,0,0,0,4,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,Sexe,0,15,0,0,0,3,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,Specialite,0,15,0,0,0,3,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,AuditAction,0,21,0,0,0,4,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,ModePaiement,0,15,0,0,0,3,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,ReimbursementStatus,0,27,0,0,0,5,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,RoleName,0,27,0,0,0,5,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,PrescriptionType,0,15,0,0,0,3,0,1,0,1
ASSURANCE NATION,com.assurance.nation.entity.enums,TypeConsultation,0,15,0,0,0,3,0,1,0,1
ASSURANCE NATION,com.assurance.nation.security,SecurityUtil,6,22,2,4,1,6,2,2,0,1
ASSURANCE NATION,com.assurance.nation.security,CustomUserDetailsService,41,6,0,0,8,1,3,1,3,1
ASSURANCE NATION,com.assurance.nation.security,JwtAuthenticationFilter,66,9,8,0,14,1,6,1,2,1
ASSURANCE NATION,com.assurance.nation.security,RoleChecker,44,32,9,1,10,9,8,5,3,5
ASSURANCE NATION,com.assurance.nation.security,OwnershipService,92,120,13,13,21,25,20,7,9,5
ASSURANCE NATION,com.assurance.nation,AssuranceNationApplication,5,3,0,0,2,1,1,1,1,1
ASSURANCE NATION,com.assurance.nation.controller,AuthController,37,6,0,0,7,1,5,1,5,1
ASSURANCE NATION,com.assurance.nation.controller,GlobalExceptionHandler,94,3,2,0,20,1,6,1,5,1
ASSURANCE NATION,com.assurance.nation.controller,PrescriptionController,47,6,2,0,8,1,6,1,5,1
ASSURANCE NATION,com.assurance.nation.controller,MedicalRecordController,35,6,0,0,4,1,4,1,4,1
ASSURANCE NATION,com.assurance.nation.controller,AssureController,50,6,0,0,8,1,7,1,7,1
ASSURANCE NATION,com.assurance.nation.controller,MedecinController,43,6,0,0,7,1,6,1,6,1
ASSURANCE NATION,com.assurance.nation.controller,HealthController,73,6,4,0,15,1,5,1,3,1
ASSURANCE NATION,com.assurance.nation.controller,ConsultationController,42,6,0,0,7,1,5,1,5,1
ASSURANCE NATION,com.assurance.nation.controller,UserController,50,9,0,0,8,1,6,1,6,1
ASSURANCE NATION,com.assurance.nation.controller,ReimbursementController,88,9,2,0,15,1,9,1,8,1
ASSURANCE NATION,com.assurance.nation.service,ConsultationService,49,337,8,16,2,74,14,11,6,7
ASSURANCE NATION,com.assurance.nation.service,AuditService,8,82,2,2,2,21,3,4,1,4
ASSURANCE NATION,com.assurance.nation.service,UserService,73,252,14,16,5,50,18,7,4,6
ASSURANCE NATION,com.assurance.nation.service,AssureService,159,273,13,9,27,62,18,11,8,10
ASSURANCE NATION,com.assurance.nation.service,MedecinService,121,228,14,8,20,50,15,9,4,9
ASSURANCE NATION,com.assurance.nation.service,PrescriptionService,44,229,4,6,5,48,7,10,3,9
ASSURANCE NATION,com.assurance.nation.service,ReimbursementService,159,682,15,17,32,145,16,17,3,14
ASSURANCE NATION,com.assurance.nation.service,AuthService,100,270,5,6,23,59,9,9,4,8
ASSURANCE NATION,com.assurance.nation.service,MedicalRecordService,17,152,4,4,2,32,4,8,1,7
ASSURANCE NATION,com.assurance.nation.service,RoleAssignmentService,0,34,0,0,0,7,0,3,0,3
ASSURANCE NATION,com.assurance.nation.service,EmailService,0,40,0,0,0,12,0,3,0,3
ASSURANCE NATION,com.assurance.nation.service,NotificationService,27,91,0,0,10,31,2,7,2,7
ASSURANCE NATION,com.assurance.nation.entity,Assure,18,51,0,0,4,10,5,11,5,11
ASSURANCE NATION,com.assurance.nation.entity,Permission.PermissionBuilder,37,0,0,0,1,0,6,0,6,0
